1 AllReduceParallel 10785 11042 0.976725
2 Pipeline 94932 56016 1.69473
3 Convolve 94725 55968 1.69248
4 NQueensPar 2944 3790 0.776781
5 MontyPiParallel 486074 471045 1.03191
6 KMeansScalar 59742 63059 0.947398
7 Histogram 1524 3767 0.404566
8 MergeSort 2087 7817 0.266982
9 Stream 14322 17776 0.805693
10 Prefix 2197 7070 0.31075
11 UTS 132860 75920 1.75
12 IDEA 1052 4128 0.254845
13 SOR 416217 14808 28.1076
14 Stencil 21505 4576 4.69952
15 Series 158110 160626 0.984336
16 RayTrace 129797 126654 1.02482
17 LUFact 40734 51632 0.788929
18 SparseMatMul 101754 186967 0.544235
19 Geometric-Mean 1 1 1.02156
