1 AllReduceParallel 8416 9270 0.907875
2 Pipeline 53713 32444 1.65556
3 NQueensPar 3193 4122 0.774624
4 MontyPiParallel 4318 5083 0.849498
5 KMeansScalar 117982 124376 0.948591
6 Histogram 1132 3449 0.328211
7 MergeSort 2232 6427 0.347285
8 Stream 24426 31529 0.774715
9 Prefix 1901 5669 0.335333
10 UTS 9590 69719 0.137552
11 IDEA 1317 4466 0.294895
12 SOR 551514 27091 20.3578
13 Stencil 34939 27012 1.29346
14 Series 5037 8748 0.575789
15 RayTrace 27947 32143 0.869458
16 LUFact 46861 64376 0.727927
17 SparseMatMul 6249 7916 0.789414
18 Geometric-Mean 1 1 0.755633
