1 AllReduceParallel 1213 1159 1.04659
2 Pipeline 10028 6258 1.60243
3 Convolve 9916 6230 1.59165
4 NQueensPar 385 712 0.54073
5 MontyPiParallel 9737 9791 0.994485
6 KMeansScalar 15691 16812 0.933321
7 Histogram 220 356 0.617978
8 MergeSort 378 1028 0.367704
9 Stream 1499 1486 1.00875
10 Prefix 525 1610 0.326087
11 UTS 12637 6447 1.96014
12 IDEA 115 644 0.178571
13 SOR 46737 2940 15.8969
14 Stencil 3937 3709 1.06147
15 Series 6064 6381 0.950321
16 RayTrace 7602 8226 0.924143
17 LUFact 7055 9994 0.705924
18 SparseMatMul 12212 8443 1.44641
19 Geometric-Mean 1 1 0.965381
