1 AllReduceParallel 5668 6104 0.928571
2 Pipeline 7671 6505 1.17925
3 Convolve 7240 6658 1.08741
4 NQueensPar 37106 37302 0.994746
5 MontyPiParallel 10145 12048 0.842048
6 KMeansScalar 331982 325809 1.01895
7 Histogram 4077 9516 0.428436
8 MergeSort 4500 10292 0.437233
9 Stream 21602 24752 0.872738
10 Prefix 4822 7324 0.658383
11 UTS 61119 85152 0.717764
12 IDEA 4942 7596 0.650606
13 SOR 52876 838302 0.0630751
14 Stencil 52488 564716 0.0929458
15 Series 49450 114215 0.432955
16 RayTrace 18974 22777 0.833033
17 LUFact 34269 66126 0.518238
18 SparseMatMul 15825 19523 0.810582
