XWS
# =================================================================
#   VERTICES      EDGES PROC  MEDGES/Sec 
# =================================================================
      100000     400000    1   3.02
      100000     400000    2   6.09
      100000     400000    4  11.78
      100000     400000    8  22.10
      100000     400000    16 33.44 
      100000     400000    24 42.34 
      100000     400000    30 42.31 
      100000     400000    32 42.25 
     1000000    4000000    1    2.51
     1000000    4000000    2    5.11
     1000000    4000000    4   10.05
     1000000    4000000    8   18.94
     1000000    4000000    16  34.73
     1000000    4000000    24  47.51
     1000000    4000000    30  53.33
     1000000    4000000    32  55.21
     5000000   20000000    1    1.77
     5000000   20000000    2    3.62
     5000000   20000000    4    7.18
     5000000   20000000    8   13.77
     5000000   20000000    16  24.86
     5000000   20000000    24  31.56
     5000000   20000000    30  39.85
     5000000   20000000    32  42.12
    10000000   40000000    1    1.53
    10000000   40000000    2    3.01
    10000000   40000000    4    5.56
    10000000   40000000    8   11.21
    10000000   40000000    16  20.01
    10000000   40000000    24  27.67
    10000000   40000000    30  32.10
    10000000   40000000    32  33.98


Cilk

C
