# Hostname: v20n81.pbm.ihost.com
# Start Time: Sat Aug 18 02:20:49 EDT 2007

#
# Run: 1
#


## Block Size: 16
## Matrix Size: 256
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        256    1    1       16       ok        9        1217.07
        256    1    2       16       ok        5        2069.78
        256    2    1       16       ok        5        2056.05
        256    2    2       16       ok        3        3066.26


## Block Size: 16
## Matrix Size: 512
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        512    1    1       16       ok       77        1147.91
        512    1    2       16       ok       55        1620.11
        512    2    1       16       ok       55        1598.83
        512    2    2       16       ok       23        3723.58


## Block Size: 16
## Matrix Size: 1024
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       1024    1    1       16       ok      827         864.21
       1024    1    2       16       ok      903         791.50
       1024    2    1       16       ok      925         772.99
       1024    2    2       16       ok      194        3686.62


## Block Size: 16
## Matrix Size: 2048
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       2048    1    1       16       ok    10772         531.40
       2048    1    2       16       ok    21431         267.11
       2048    2    1       16       ok    25463         224.81
       2048    2    2       16       ok     2010        2846.92


## Block Size: 16
## Matrix Size: 4096
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       4096    1    1       16       ok   160509         285.37
       4096    1    2       16       ok  1501665          30.50
       4096    2    1       16       ok  1581202          28.97
       4096    2    2       16       ok    24248        1888.97


## Block Size: 32
## Matrix Size: 256
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        256    1    1       32       ok        5        1899.18
        256    1    2       32       ok        3        3059.53
        256    2    1       32       ok        3        3056.18
        256    2    2       32       ok        2        4090.97


## Block Size: 32
## Matrix Size: 512
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
        512    1    1       32       ok       37        2411.66
        512    1    2       32       ok       20        4414.39
        512    2    1       32       ok       20        4370.99
        512    2    2       32       ok       11        8065.29


## Block Size: 32
## Matrix Size: 1024
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       1024    1    1       32       ok      274        2603.91
       1024    1    2       32       ok      155        4596.77
       1024    2    1       32       ok      156        4583.96
       1024    2    2       32       ok       71        9942.50


## Block Size: 32
## Matrix Size: 2048
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
## ======== ==== ==== ======== ======== ======== ==============
       2048    1    1       32       ok     2331        2455.08
       2048    1    2       32       ok     1693        3380.08
       2048    2    1       32       ok     1770        3233.32
       2048    2    2       32       ok      551       10385.00


## Block Size: 32
## Matrix Size: 4096
##        N   px   py        B  correct time(ms)   Rate(MFLOPS)
