1 AllReduceParallel 567 551 1.02904
2 Pipeline 524 483 1.08489
3 Convolve 722 525 1.37524
4 NQueensPar 1928 2182 0.883593
5 MontyPiParallel 863 908 0.950441
6 KMeansScalar 70234 81081 0.86622
7 Histogram 422 578 0.730104
8 MergeSort 1780 3507 0.507556
9 Stream 1964 1836 1.06972
10 Prefix 455 532 0.855263
11 UTS 22318 44277 0.504054
12 IDEA 429 607 0.706755
13 SOR 156511 20282 7.71674
14 Stencil 82688 77960 1.06065
15 Series 4168 6176 0.67487
16 RayTrace 31103 28560 1.08904
17 LUFact 59102 66336 0.890949
18 SparseMatMul 2360 1973 1.19615
