1 AllReduceParallel 3448 3974 0.86764
2 Pipeline 3333 3282 1.01554
3 Convolve 3382 3489 0.969332
4 NQueensPar 6056 7249 0.835426
5 MontyPiParallel 3704 3985 0.929486
6 KMeansScalar 54071 59888 0.902869
7 Histogram 2867 3608 0.794623
8 MergeSort 3701 6198 0.597128
9 Stream 4061 4735 0.857656
10 Prefix 2973 3506 0.847975
11 UTS 16420 22709 0.723061
12 IDEA 2745 3857 0.711693
13 SOR 89511 24768 3.61398
14 Stencil 60301 27170 2.2194
15 Series 6354 8906 0.713452
16 RayTrace 7743 8547 0.905932
17 LUFact 18487 26615 0.694608
18 SparseMatMul 4515 5516 0.818528
